review,preprocessed_text,score,label_manual
saya tidak merasa melakukan pembayaran tiba tiba membayar sendiri senilai 600.000 ribu mohon bantuanya,bayar bayar nila ribu mohon bantuanya,1,negatif
aneh bjir GPS nya lompat lompat,aneh bjir lompat lompat,2,negatif
Kenapa APK ini langsung Main Tarik Uang melalui apk Play Store..padahal sebenarnya hanya Coba Gratis..tp ini main Tarik uang 609.000..sudah ikuti saran Coba mengembalikan Dana..tp tetap tdk di proses dengan alasan tidak memenuhi syarat..mohon kiranya Apk ini bisa mengembalikan Dana Yg d ambil Krn itu keperluan Berobat ðŸ™ðŸ™ðŸ™,aplikasi langsung main tarik uang aplikasi play storepadahal coba gratistp main tarik uang ikut saran coba kembali danatp proses alas penuh syaratmohon aplikasi kembali dana ambil perlu obat,1,negatif
jalan,lari bersepeda dll  dapat kita lihat berapa meter kilo jalanlaribersepeda lihat meterkilo,5,positif
awas aplikasi ini nyuri saldo dari rek.ewalet dll bisa akses sendiri saya korban,awas aplikasi nyuri saldo rekewalet akses korban,5,negatif
saya sangat kecewa karna tiba tiba berlangganan di aplikasi ini senilai 600 rb sudah dengan pajak, tidak ada konfirmasi apapun atas transaksi  mohon untuk para pengguna lebih berhati hati lagi  saya tunggu 1 kali 24 jam untuk pengembalian saldo dana pada transaksi yang tidak saya ketahui itu  karna saya sudah menunggu 2 hari tanpa kabar apapun  jangan membohongi rakyat kecil kami membutuhkan uang nya bukan hanya untuk berlangganan aplikasi seperti iniðŸ™ðŸ». kecewa karna langgan aplikasi nila pajak konfirmasi transaksi mohon guna hati hati tunggu kali kembali saldo dana transaksi tahu karna tunggu kabar bohong rakyat butuh uang langgan aplikasi,1,negatif
saya baru ingin mencoba menggunakan, namun saat ingin login ternyata tidak bisa dan server eror. tolong bagaimana cara memperbaikinya coba login server eror tolong baik,4,netral
sangatt bergunaaa,sangatt bergunaaa,5,positif
panggil aku pelari kalcer,panggil lari kalcer,5,positif
kenapa sinyal gps nya tidak ada/lemah,sinyal adalemah,5,netral
mohon maaf atas kelalaian saya saya tidak mengetahui pembelian ini dan mohon maaf sekali lagi saya minta pengembalian dana kuðŸ™,Mohon maaf lalai beli mohon maaf kembali dana,5,netral
aplikasi Oke, membantu rekomen rute  dan cek statistik olahraga kita aplikasi bantu rekomen rute statistik olahraga,4,positif
Terimakasih buat orang-orang yang menemukan/membuat aplikasi strava ini. Saya sangat senang karena aplikasi ini membantu saya dalam mengukur kemampuan dan kemajuan saya dalam berlari.,terimakasih orangorang menemukanmembuat aplikasi strava senang aplikasi bantu ukur mampu maju lari,5,positif
masih jaman masa percobaan seminggu?,jaman coba minggu,1,netral
bug tidak pernah selesai,selesai,1,negatif
fitur gratisnya ditingkatkan lagi ðŸ˜,fitur gratis tingkat,4,netral
haii stravaa,  bisakah anda mengembalikan uang saya 609ribu?? saya tidak melakukan transaksi apapun mengapa anda mengambil dana saya tanpa izinn??? kembalikan dana saya sekarang jugaa.. stravaa kembali uang ribu transaksi ambil dana izinn kembali dana jugaa,1,negatif
lumayan untuk pemula.. tidak ada iklan, mudah digunakan.. lumayan mula iklan mudah,4,positif
aakurat banget ngitung nya cok owtit juga ini apk,aakurat banget ngitung owtit aplikasi,5,positif
ini gimana ya gabisa masuk Kataya masalah server,gimana gabisa masuk kataya server,4,netral
sangan berguna,sangan guna,5,positif
aplikasi keren penunjang olahraga,aplikasi bagus tunjang olahraga,5,positif
membantu progres,bantu progres,5,positif
GPS error, jarak tidak sesuai tolong diperbaiki. error jarak sesuai tolong baik,2,negatif
bagus untuk di gunakan akurasinya bagus,bagus akurasi bagus,4,positif
Gak jlas strava, gps dan jarak serta pace tidak sesuai. jlas strava jarak pace sesuai,1,negatif
mohon maaf atas kelalaian saya saya tidak mengetahui pembelian ini dan mohon maaf sekali lagi saya minta pengembalian dana kuðŸ™,mohon maaf lalai beli mohon maaf kembali dana,5,netral
min bisa tolong tambahin fitur simpan untuk dilajutkan nanti ga min?,admin tolong tambahin fitur simpan dilajutkan,5,netral
kembalikan atau tetap adakan share map seperti yg sebelumnya,kembali adakan share,2,netral
saya tidak ada mendaki malah dicatat kenaikan elevasi, dan pengaturan untuk mengubah hal tsb tidak ada daki catat naik elevasi atur ubah,2,negatif
langganan secara tiba-tiba,langgan tibatiba,1,negatif
kecewa dengan update nya,kecewa update,2,negatif
rute sesat abal2 abal2 kadang rute normal.,rute sesat sesat abal kadang rute normal,4,negatif
saya menjadi semangat olahraga dengan adanya strava,semangat olahraga strava,5,positif
Saya ada usulan, bagaimana kalo setiap mecahkan record sendiri  di Beri Hadiah Misalnya Koin untuk membeli sticker di Strava atau apalah itu usul kalo mecahkan record hadiah koin beli sticker strava,4,netral
all good, tapi kalo offline lebih bagus  jdi kaya peta nya di download gitu good kalo offline bagus kaya peta download gitu,5,netral
mungkin bisa dibuatkan fitur interval,buat fitur interval,5,netral
Aplikasi apaan padahal engga berlaganan ehh tapi malah nyedot uang,aplikasi engga lagan nyedot uang,1,negatif
tolong diperbaiki yah soalnya sering banget jarak sama pacr nya g sesuai,tolong baik banget jarak pacr sesuai,3,negatif
Kok strava saya tidak akurat jarak dan pace nya. Di lihat dari feed aktifitas saya dan dilihat di feed aktifitas teman saya tidak sama jarak dan pace nya. Bagaimana solusinya?,strava akurat jarak pace lihat feed aktifitas feed aktifitas teman jarak pace solusi,4,netral
taman setia setiap saat cri kringat.. mantap,taman setia kringat bagus,5,positif
Bantu banget buat monitor progres dan record moment..,bantu banget monitor progres record moment,5,positif
koneksinya lambatt, kadang gak kedata!!!    cuma ketolong trend doang ini  kalo begini nda bakal panjang umurnya ni app... ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž koneksi lambatt kadang data tolong trend doang kalo umur,1,negatif
baguss,baguss,5,positif
payah euy cuma bisa dipakai seminggu,setelah seminggu GPS ngaco loncat loncat ga jelas payah pakai seminggusetelah minggu ngacoloncat loncat,2,negatif
Rekomendasi Suhu Runners terbaik,rekomendasi suhu runners baik,5,positif
ku kasih bintang 3 dulu aplikasinya baguss tapi sayang sering eror jadi tolong di perbaiki,kasih bintang aplikasi baguss sayang eror tolong baik,3,netral
admin bisa nggak ini aplikasi diperbaiki bikin login melulu nggak tau apa masalahnya percuma aja gitu downloadnya hadeeuh udah gitu harus berlangganan lagi,admin aplikasi baik bikin login melulu gitu downloadnya hadeeuh gitu langgan,1,negatif
sangat berguna buat olahraga lari,guna olahraga lari,5,positif
wow lah pokoknya,pokok,5,positif
Usahakan gps, pace  dan cadence lebih akurat usaha pace cadence akurat,4,netral
sangat puas dan membantu dalam olahraga,puas bantu olahraga,5,negatif
Eror dari pace dan jarak tidak akurat sama sekali,eror pace jarak akurat,2,negatif
kenapa selalu update tiap hari? dan jarak langkah kaki kenapa tidak akurat? misal saya berjalan 5km di sini cmn kebaca 1000 langkah kaki,update jarak langkah kaki akurat jalan baca langkah kaki,1,negatif
Mantap untuk berolahrga,bagus berolahrga,5,positif
kenapa gak tersimpan di aktivitas ya.. padahal di save,simpan aktivitas save,1,netral
kok sinkronnya susah ya sekarang malahan. kadang sinkron sampe berhariÂ² ga bisa langsung seperti versi lama sebelumnya,sinkron susah kadang sinkron sampe hari langsung versi,1,negatif
Ini Aplikasi cuma ketolong Trend Tiktok doang. masih banyak Bug. susah banget tambah perangkat Galaxy watch 7. Padahal udah sesuai instruksi. udah start walking dari jam, gak tercatat di hp. ternyata samsung health udah cukup bagus. rugi banget yang udah langganan 500rb/tahun. aplikasi tolong trend tiktok doang susah banget perangkat galaxy watch sesuai instruksi start walking catat samsung health bagus rugi banget langgan rbtahun,1,negatif
tidak bisa share hasil lari aneh kenapa ini bug kah? ada yg bisa ada yang tidak ðŸ˜µâ€ðŸ’«ðŸ˜´,share hasil lari aneh,2,netral
Sebenarnya bagus tapi kok map tracking nya kok agak patah patah ya belok belok rute nya jadi nggak lumayan akurat,bagus tracking patah patah belok belok rute lumayan akurat,3,netral
bagus untuk pengingat tiap hari,bagus ingat,5,positif
sangat membantu dalam berolahraga,bantu olahraga,5,positif
padahal saya udh nyalakan strava pas saya udh selesai lari di suruh ulg lgi mohon di perbaiki lgi mslahnya ini soalnya menggangu ketika kita sudah selesai Olga,nyala strava selesai lari suruh mohon baik mslahnya menggangu selesai olga,1,negatif
cara mengembalikan aktivitas strava yang ke hapus gimana nih,kok kolom nya udah hilang kembali aktivitas strava hapus gimana nihkok kolom hilang,4,negatif
gk paham aplikasinya ðŸ¤£ðŸ¤£ðŸ¤£,paham aplikasi,1,negatif
tidak rekomen,rekomen,1,negatif
bantu banget yg hobi lari,bantu banget hobi lari,5,positif
gak bisa daftar eror Mulu,daftar eror mulu,1,negatif
sering bug setelah kita save, rute nya jadi tidak sesuai save rute sesuai,4,negatif
sangat rekom buat pecinta outdoor dan olahraga mantaaap,rekom cinta outdoor olahraga mantaaap,5,positif
saya suka..jadi semangat olahraga,sukajadi semangat olahraga,5,positif
kualitas masih jelek jarak yg dilalui setiap hari sama TPI akhir2 ini jarak menjadi berkurang sendiri,kualitas jelek jarak jarak kurang,1,negatif
Sangat suka dengan fitur strava,suka fitur strava,5,positif
ga bisa daftar akun kecewa padahal udah install saat melakukan daftar akun kesalahan terus tolong di perbaiki,daftar akun kecewa install daftar akun salah tolong baik,1,negatif
saya suka..jadi semangat olahraga benar-benar,sukajadi sukajadi semangat olahraga,5,positif
minta tolong dikembalikan uwang saya tiba tertarik otomatis ke akun DANA sya senileii Rp. 609.390 mungkin ndk sengaja kepencek fiturnya minta tolong dikembalikanðŸ™ðŸ™ðŸ™ðŸ™ðŸ™,tolong kembali uwang tarik otomatis akun dana senileii sengaja fiturnya tolong kembali,5,negatif
bolehlah ya, bagus juga dan yap gw manusia bagus manusia,5,positif
tolong min sebelum update sekitaran bulan Januari atau bukan februari GPS nya aman ngak zig zag tapi setelah di update sampe sekarang udah zig-zag sampe sekarang tolong min di perbaiki supaya kalo kita mau lari itu terukur ðŸ™ðŸ™ semoga di perbaiki ðŸ™,tolong admin update sekitar januari februari aman ngak update sampe zigzag sampe tolong admin baik kalo lari ukur moga baik,2,negatif
sebenarnya fiturnya udh bagus,cuman fitur yang tadinya gratis sekarang harus proo saya berharap fitur yang tadinya gratis untuk update selanjutnya di buka lagi.jadi jangn serba premium pliss ini MHðŸ™ðŸ™ fiturnya baguscuman fitur gratis proosaya harap fitur gratis update buka lagijadi jangn serba premium pliss,3,netral
tks strava banyak membantu kegiatan berolahraga baik sepeda, jalan  lari dll bisa membagikan aktivitas olahraga    pokoke asyik strava bantu giat olahraga sepeda jalan lari bagi aktivitas olahraga pokoke asyik,5,positif
apk nya bagus ngga ada permasalahan,aplikasi bagus ngga masalah,5,positif
mantap sangat membantu untuk berolahraga,bagus bantu olahraga,5,positif
Salam Kemerdekaan. Salam Sehat,salam merdeka salam sehat,5,netral
sangat bagus untuk mengukur kemampuan saya untuk berlari cuman tolong di perbaiki pada saat rekam lari saya merasa pada saat rekam lari pace dan jarak tidak akurat jadi tolong di perbaiki Semoga kedepannya lebih baik. Terimakasih,bagus ukur mampu lari cuman tolong baik rekam lari rekam lari pace jarak akurat tolong baik moga depan terimakasih,5,netral
tolong min strava tarik uang saya sebesar 600 pliss min tolong pulangin uang itu sayaa gk ada berlangganan kok tiba tiba ketarik tolong min kembalikan uang sayaa,tolong admin strava tarik uang pliss admin tolong pulangin uang sayaa langgan tarik tolong admin kembali uang sayaa,1,negatif
aplikasi nya bagus banget untuk di pakai untuk lari atau sepedaan,aplikasi bagus banget pakai lari sepeda,5,positif
