review,preprocessed_text,score
"kenapa map saya eror? pace pun jadi eror juga. masa bisa Pace 2. Gimana memperbaiki nya? udah saya log out gak bisa juga, sampai saya uninstall login lagi juga masih eror. TOLONG DIPERBAIKI YAA",eror pace eror pace gimana baik uninstall login eror tolong baik,1
Sering tidak terekam,rekam,2
akurat 👍👍,akurat,5
sangat membantu menghitung jarak untuk saya yang bener bener pemula,bantu hitung jarak bener bener mula,5
sering gangguan,ganggu,1
"Saya ngga bisa login karena kesalahan server,saya coba di hp lain masih sama saja",ngga login salah serversaya coba,1
tolong kembalikan Saldo dana saya 690rb saya tidak pernah berlangganan,tolong kembali saldo dana langgan,1
"Sangat membantu buat tracking olahraga! mayan akurat, easy to use.. Bikin semangat buat terus gerak! 💪",bantu tracking olahraga mayan akurat easy bikin semangat gerak,5
"Saya tidak sengaja berlangganan di aplikasi ini tapi dana saya tidak dikembalikan,saya sangat kecewa",sengaja langgan aplikasi dana dikembalikansaya kecewa,1
mohon maaf kembalikan dana saya🙏,mohon maaf kembali dana,1
"bug tampilan ""Tingkatkan"" pada Galaxy S24 Ultra.",tampil tingkat galaxy ultra,1
mantab,mantab,5
aplikasi keren,aplikasi bagus,5
"seru eh, berasa main game di dunia nyata, insyallah tahun ini lari 5k pertamaku. terimakasih strava.",seru main game dunia nyata insyallah lari pertama terimakasih strava,5
kadang bisa rekam lari kadang nggak dasar aplikasi tolol,kadang rekam lari kadang dasar aplikasi tolol,1
"Bagus banget, walau pakai yang gratisan juga... Moga aja tidak error lagi yaah....",bagus banget pakai gratis moga error yaah,5
luar biasa,,5
"tolong kembalikan saldo dana saya yg di tarik sebesar Rp 609.390,00 karena saya tidak mengetahui pembayaran ini, mohon bantuan nya untuk bisa mengembalikan saldo yg di tarik tiba"" dari dana saya tidak merasa berlangganan di apk ini",tolong kembali saldo dana tarik bayar mohon bantu kembali saldo tarik dana langgan aplikasi,1
