review,preprocessed_text,label_manual
akurat 👍👍,akurat,2
ponsel saya hang saat mencarikan rute🤣,ponsel hang cari rute,0
bisa mengugur Pace dengan baik,mengugur pace,2
tidak bisa login dengan alasan salah server gimana dong nihhh,login alas salah server gimana nihhh,0
tolong kembalikan dana saya sebesar 609.390 saya tidak merasa berlangganan uang saya ke potong otomatis,tolong kembali dana langgan uang potong otomatis,0
"aplikasi nya memang bagus tapi kadang mau gak kerekam, padahal udah cape lari",aplikasi bagus kadang rekam cape lari,2
"apk ya bagus bangettt ,rekomendet buat yang suka olahraga",aplikasi bagus bangettt rekomendet suka olahraga,2
jarak dan gps saya sering error kenapa ya,jarak error,2
sangat bermanfaat dan memotivasi utk terus berlari..,manfaat motivasi lari,2
semoga berhasil dan selalu sukses untuk bermanfaat buat kita semuanya amin ya allah STW,moga hasil sukses manfaat amin allah,2
tiba tiba log out sendiri ga bisa masuk jadi harus ganti akun akun lama ilang dah tuh muncak ke gunung gunung ilang semua aktifitas lari renang percuma,masuk ganti akun akun ilang muncak gunung gunung ilang aktifitas lari renang,0
GK bisa buat akun,akun,0
Kok strava saya ga bisa buka data sih... mohon di jawab pihak developer strava?,strava buka data mohon developer strava,2
gabisa daftar apk nya knp y,gabisa daftar aplikasi,0
karna kalau ada uang tidak di pakai dalam aplikasi penyimpanan uang akan dia ambil oleh aplikasi ini sebelum ada banyak korban stop pakai aplikasi ini saya kehilangan uang enam ratus ribu rupiah,karna uang pakai aplikasi simpan uang ambil aplikasi korban stop pakai aplikasi hilang uang enam ratus ribu rupiah,0
"makin ke sini makin gak jlas strava bnyak erornya,bgusna dlu..",jlas strava bnyak erornyabgusna,1
Sangat membantu dalam pemantauan kesehatan lewat olahraga..,bantu pantau sehat olahraga,2
allkkasi bagus buat bersepeda,allkkasi bagus sepeda,2
progres data terupdate dengan baik,progres data terupdate,2
"coba berikan tanggapan ke komentar ini jika dana 609.000 bisa di refund kembali, soalnya saya butuh uang itu buat bulanan",coba tanggap komentar dana refund butuh uang bulan,0
Pengalaman yang luar biasa dgn Strava..Menyenangkan.👍👍👍,alam stravamenyenangkan,2
"bagi Admin nya tolong di perbaiki, ini saya sudah dowload kok tiba² tidak bisa login malah keluar tulisan gagal masuk. tolong min di perbaiki banyak bug di aplikasi ini",admin tolong baik dowload login tulis gagal masuk tolong admin baik aplikasi,0
