username,review,casefolding,preprocessed_text,score,at,appversion
Gilang Setiawann,oke,oke,oke,5,2025-10-15 19:38:49,432.11
si Paipai,tolong buat pihak strava saya tidak langganan tiba tiba saldo saya kepotong sebesar 609.390 tolong pihak strava balikin saldo saya,tolong buat pihak strava saya tidak langganan tiba tiba saldo saya kepotong sebesar 609.390 tolong pihak strava balikin saldo saya,tolong strava langgan saldo potong tolong strava balikin saldo,1,2025-10-15 15:07:38,432.11
Sajimin Sajimin,keren,keren,keren,5,2025-10-15 07:56:41,432.11
Bintang Raspati,"Sangat membantu buat tracking olahraga! mayan akurat, easy to use.. Bikin semangat buat terus gerak! 💪","sangat membantu buat tracking olahraga! mayan akurat, easy to use.. bikin semangat buat terus gerak! 💪",bantu tracking olahraga mayan akurat easy to use bikin semangat gerak,5,2025-10-15 07:05:30,432.11
PRO FANI,"Saya tidak sengaja berlangganan di aplikasi ini tapi dana saya tidak dikembalikan,saya sangat kecewa","saya tidak sengaja berlangganan di aplikasi ini tapi dana saya tidak dikembalikan,saya sangat kecewa",sengaja langgan aplikasi dana dikembalikansaya kecewa,1,2025-10-15 01:08:03,
Beny Krisdianto,jos,jos,jos,5,2025-10-14 17:13:32,432.11
Rahmad Sywt,mohon maaf kembalikan dana saya🙏,mohon maaf kembalikan dana saya🙏,mohon maaf kembali dana,1,2025-10-14 15:28:29,432.11
Satria Fakhri,"bug tampilan ""Tingkatkan"" pada Galaxy S24 Ultra.","bug tampilan ""tingkatkan"" pada galaxy s24 ultra.",bug tampil tingkat galaxy s ultra,1,2025-10-14 14:50:03,432.11
SUDAR YANTO,CARA PENGEMBALIAN DANA DRI STRAVA BAGAIMNA YAH ? SAYA TIDAK TAU KALAU STRAVA SAYA LANGGANAN YANG 1 TAHUN PADAHAL SAYA CUMAN COBA SESI TRIAL YG SEBULAN . TERUS TIBA2 SAYA TOP UP DANA SAYA SEJUTA LANGSUNG KE POTONG OTOMATIS,cara pengembalian dana dri strava bagaimna yah ? saya tidak tau kalau strava saya langganan yang 1 tahun padahal saya cuman coba sesi trial yg sebulan . terus tiba2 saya top up dana saya sejuta langsung ke potong otomatis,kembali dana dri strava bagaimna yah tau strava langgan cuman coba sesi trial yg bulan top up dana juta langsung potong otomatis,1,2025-10-14 13:53:12,
Nurman Isk,mantap,mantap,mantap,5,2025-10-14 10:33:18,432.11
DIAZ COD,mantap,mantap,mantap,5,2025-10-14 09:53:17,422.1
stevanus susanto,ok,ok,ok,4,2025-10-14 08:54:05,431.1
jabalintang channel,mantab,mantab,mantab,5,2025-10-14 08:07:17,432.11
mang Bobby,aplikasi keren,aplikasi keren,aplikasi keren,5,2025-10-14 08:03:02,432.11
Ramdan Bintang,mantap mantap,mantap mantap,mantap mantap,5,2025-10-14 07:05:51,432.11
Muhammad Daffa,"seru eh, berasa main game di dunia nyata, insyallah tahun ini lari 5k pertamaku. terimakasih strava.","seru eh, berasa main game di dunia nyata, insyallah tahun ini lari 5k pertamaku. terimakasih strava.",seru eh asa main game dunia nyata insyallah lari k pertama terimakasih strava,5,2025-10-13 18:15:57,430.12
Zaidan Mahendra Nurhidayat,"INI KENAPA KOK STRAVA EROR, GK BISA LOGIN!!!!","ini kenapa kok strava eror, gk bisa login!!!!",strava eror gk login,1,2025-10-13 18:04:27,
